Obj,Size,Stats,Default,MinDom,LowMin,BranGP,GP-C,SVM-C,MLP-C,GP-R,SVM-R,MLP-R,OptSol
\multirow{10}{*}{cmax},\multirow{2}{*}{$6\times6$},mean,4.71e+02,3.17e+02,3.16e+02,\bf{2.10e+02},\bf{2.25e+02},\bf{2.35e+02},\bf{2.22e+02},\bf{2.32e+02},\bf{2.16e+02},\bf{1.97e+02},3.92e+01
spaceX,spaceX,std,2.94e+02,2.04e+02,2.24e+02,1.69e+02,1.66e+02,2.15e+02,2.01e+02,1.76e+02,1.85e+02,1.35e+02,1.02e+01
spaceX,\multirow{2}{*}{$8\times8$},mean,2.14e+03,1.36e+03,1.21e+03,\bf{7.59e+02},\bf{8.53e+02},\bf{8.79e+02},\bf{8.64e+02},1.02e+03,1.03e+03,\bf{8.13e+02},7.69e+01
spaceX,spaceX,std,1.19e+03,9.05e+02,8.35e+02,5.87e+02,6.57e+02,6.49e+02,5.55e+02,6.48e+02,6.86e+02,5.72e+02,3.70e+01
spaceX,\multirow{2}{*}{$10\times10$},mean,6.60e+03,4.74e+03,4.54e+03,\bf{2.55e+03},\bf{3.04e+03},3.44e+03,3.23e+03,3.65e+03,3.45e+03,3.12e+03,4.18e+02
spaceX,spaceX,std,2.75e+03,2.64e+03,2.37e+03,1.79e+03,1.80e+03,1.76e+03,1.72e+03,1.63e+03,1.72e+03,1.69e+03,8.90e+02
spaceX,\multirow{2}{*}{$12\times12$},mean,1.61e+04,1.29e+04,1.20e+04,\bf{8.12e+03},\bf{8.30e+03},\bf{8.76e+03},\bf{8.90e+03},\bf{8.75e+03},\bf{9.02e+03},\bf{7.58e+03},5.96e+03
spaceX,spaceX,std,6.58e+03,8.09e+03,6.52e+03,5.98e+03,6.20e+03,7.07e+03,7.85e+03,6.40e+03,5.08e+03,6.21e+03,1.75e+04
spaceX,\multirow{2}{*}{$14\times14$},mean,3.71e+04,3.12e+04,2.68e+04,\bf{1.98e+04},\bf{2.08e+04},\bf{2.21e+04},\bf{2.16e+04},\bf{2.14e+04},\bf{2.12e+04},\bf{1.92e+04},4.88e+04
spaceX,spaceX,std,1.94e+04,2.30e+04,1.56e+04,1.64e+04,1.87e+04,2.06e+04,1.87e+04,1.59e+04,1.40e+04,1.81e+04,1.98e+05
