Obj,Size,Stats,Default,MinDom,LowMin,BranGP,GP-C,SVM-C,MLP-C,GP-R,SVM-R,MLP-R,OptSol
\multirow{10}{*}{tmax},\multirow{2}{*}{$6\times6$},mean,5.61e+02,6.84e+02,3.97e+02,\bf{2.73e+02},\bf{2.61e+02},\bf{2.19e+02},\bf{2.23e+02},\bf{2.66e+02},\bf{2.53e+02},\bf{2.45e+02},4.62e+01
spaceX,spaceX,std,4.02e+02,5.11e+02,3.60e+02,2.84e+02,1.83e+02,1.46e+02,1.45e+02,1.91e+02,1.98e+02,1.75e+02,1.55e+01
spaceX,\multirow{2}{*}{$8\times8$},mean,2.39e+03,2.76e+03,1.71e+03,1.13e+03,\bf{9.61e+02},\bf{9.95e+02},\bf{9.18e+02},\bf{9.60e+02},\bf{9.03e+02},\bf{1.00e+03},1.13e+02
spaceX,spaceX,std,1.13e+03,1.33e+03,1.18e+03,7.74e+02,6.13e+02,7.30e+02,7.18e+02,7.00e+02,6.88e+02,8.54e+02,1.21e+02
spaceX,\multirow{2}{*}{$10\times10$},mean,8.12e+03,8.77e+03,5.12e+03,4.19e+03,\bf{3.10e+03},\bf{2.98e+03},\bf{3.10e+03},\bf{3.09e+03},\bf{3.07e+03},\bf{2.77e+03},4.50e+02
spaceX,spaceX,std,3.19e+03,3.67e+03,2.40e+03,2.24e+03,1.84e+03,1.78e+03,1.72e+03,1.71e+03,1.79e+03,1.56e+03,6.15e+02
spaceX,\multirow{2}{*}{$12\times12$},mean,1.87e+04,2.18e+04,1.35e+04,1.05e+04,\bf{7.79e+03},\bf{7.83e+03},\bf{7.91e+03},\bf{8.01e+03},\bf{8.14e+03},\bf{7.70e+03},5.02e+03
spaceX,spaceX,std,6.20e+03,8.01e+03,5.94e+03,4.72e+03,3.67e+03,3.83e+03,3.72e+03,4.00e+03,3.94e+03,3.66e+03,1.05e+04
spaceX,\multirow{2}{*}{$14\times14$},mean,4.91e+04,5.20e+04,3.75e+04,\bf{3.05e+04},\bf{2.92e+04},\bf{2.81e+04},\bf{2.79e+04},\bf{2.80e+04},\bf{2.66e+04},\bf{2.67e+04},8.72e+04
spaceX,spaceX,std,2.18e+04,2.31e+04,2.69e+04,1.96e+04,2.36e+04,2.57e+04,2.52e+04,2.93e+04,2.17e+04,2.39e+04,1.48e+05
