Obj,Size,Stats,Default,MinDom,LowMin,BranGP,GP-C,SVM-C,MLP-C,GP-R,SVM-R,MLP-R,OptSol
\multirow{10}{*}{twt},\multirow{2}{*}{$6\times6$},mean,1.11e+03,1.10e+03,\bf{8.35e+02},\bf{1.05e+03},\bf{8.49e+02},\bf{8.37e+02},\bf{8.18e+02},\bf{7.83e+02},\bf{8.04e+02},\bf{8.56e+02},5.38e+02
spaceX,spaceX,std,1.31e+03,1.25e+03,1.26e+03,1.67e+03,1.11e+03,1.03e+03,1.06e+03,9.60e+02,1.04e+03,1.27e+03,1.18e+03
spaceX,\multirow{2}{*}{$7\times7$},mean,3.23e+03,3.27e+03,2.36e+03,2.95e+03,2.30e+03,2.75e+03,2.38e+03,2.34e+03,2.35e+03,2.42e+03,2.37e+03
spaceX,spaceX,std,3.84e+03,2.83e+03,2.32e+03,3.80e+03,2.54e+03,3.24e+03,2.78e+03,2.76e+03,2.74e+03,2.74e+03,6.70e+03
spaceX,\multirow{2}{*}{$8\times8$},mean,1.56e+04,1.40e+04,1.20e+04,1.64e+04,1.42e+04,1.35e+04,1.38e+04,1.35e+04,1.21e+04,1.27e+04,1.62e+04
spaceX,spaceX,std,1.79e+04,1.40e+04,1.36e+04,1.84e+04,1.67e+04,1.57e+04,1.99e+04,1.66e+04,1.36e+04,1.65e+04,2.43e+04
spaceX,\multirow{2}{*}{$9\times9$},mean,\bf{8.50e+04},\bf{7.11e+04},\bf{6.70e+04},1.01e+05,\bf{7.83e+04},\bf{7.82e+04},\bf{6.57e+04},\bf{6.88e+04},\bf{6.88e+04},\bf{6.44e+04},1.25e+05
spaceX,spaceX,std,1.28e+05,9.48e+04,1.16e+05,1.54e+05,1.62e+05,1.29e+05,9.64e+04,1.13e+05,1.10e+05,1.01e+05,1.81e+05
spaceX,\multirow{2}{*}{$10\times10$},mean,\bf{4.14e+05},\bf{3.69e+05},\bf{3.19e+05},4.58e+05,\bf{3.65e+05},\bf{4.23e+05},\bf{3.75e+05},\bf{3.78e+05},\bf{3.54e+05},\bf{4.05e+05},5.84e+05
spaceX,spaceX,std,4.97e+05,4.74e+05,3.96e+05,4.89e+05,4.39e+05,5.48e+05,4.26e+05,4.79e+05,4.33e+05,5.87e+05,6.77e+05
