opid,duration,upstreamdur,downstreamdur,totaljobdur,duedate,weight,release,earliest_start,workload,label
0.0,18.0,0.0,182.0,182.0,282.0,1.0,46.0,46.0,210.0,46.0
1.0,42.0,18.0,164.0,182.0,282.0,1.0,46.0,64.0,224.0,64.0
2.0,11.0,60.0,122.0,182.0,282.0,1.0,46.0,106.0,241.0,106.0
3.0,3.0,71.0,111.0,182.0,282.0,1.0,46.0,117.0,251.0,117.0
4.0,34.0,74.0,108.0,182.0,282.0,1.0,46.0,120.0,210.0,137.0
5.0,32.0,108.0,74.0,182.0,282.0,1.0,46.0,154.0,251.0,172.0
6.0,21.0,140.0,42.0,182.0,282.0,1.0,46.0,186.0,196.0,235.0
7.0,5.0,161.0,21.0,182.0,282.0,1.0,46.0,207.0,139.0,256.0
8.0,16.0,166.0,16.0,182.0,282.0,1.0,46.0,212.0,207.0,261.0
0.0,44.0,0.0,265.0,265.0,440.0,1.0,96.0,96.0,241.0,117.0
1.0,20.0,44.0,221.0,265.0,440.0,1.0,96.0,140.0,207.0,198.0
2.0,43.0,64.0,201.0,265.0,440.0,1.0,96.0,160.0,251.0,218.0
3.0,24.0,107.0,158.0,265.0,440.0,1.0,96.0,203.0,251.0,278.0
4.0,9.0,131.0,134.0,265.0,440.0,1.0,96.0,227.0,210.0,306.0
5.0,30.0,140.0,125.0,265.0,440.0,1.0,96.0,236.0,139.0,315.0
6.0,50.0,170.0,95.0,265.0,440.0,1.0,96.0,266.0,196.0,345.0
7.0,16.0,220.0,45.0,265.0,440.0,1.0,96.0,316.0,210.0,395.0
8.0,29.0,236.0,29.0,265.0,440.0,1.0,96.0,332.0,224.0,411.0
0.0,43.0,0.0,273.0,273.0,482.0,1.0,128.0,128.0,241.0,161.0
1.0,36.0,43.0,230.0,273.0,482.0,1.0,128.0,171.0,210.0,205.0
2.0,29.0,79.0,194.0,273.0,482.0,1.0,128.0,207.0,210.0,277.0
3.0,28.0,108.0,165.0,273.0,482.0,1.0,128.0,236.0,251.0,306.0
4.0,31.0,136.0,137.0,273.0,482.0,1.0,128.0,264.0,224.0,337.0
5.0,5.0,167.0,106.0,273.0,482.0,1.0,128.0,295.0,139.0,368.0
6.0,42.0,172.0,101.0,273.0,482.0,1.0,128.0,300.0,251.0,373.0
7.0,38.0,214.0,59.0,273.0,482.0,1.0,128.0,342.0,196.0,415.0
8.0,21.0,252.0,21.0,273.0,482.0,1.0,128.0,380.0,207.0,453.0
0.0,35.0,0.0,194.0,194.0,264.0,2.0,12.0,12.0,224.0,12.0
1.0,6.0,35.0,159.0,194.0,264.0,2.0,12.0,47.0,251.0,47.0
2.0,10.0,41.0,153.0,194.0,264.0,2.0,12.0,53.0,241.0,53.0
3.0,25.0,51.0,143.0,194.0,264.0,2.0,12.0,63.0,210.0,63.0
4.0,37.0,76.0,118.0,194.0,264.0,2.0,12.0,88.0,210.0,88.0
5.0,24.0,113.0,81.0,194.0,264.0,2.0,12.0,125.0,207.0,135.0
6.0,39.0,137.0,57.0,194.0,264.0,2.0,12.0,149.0,251.0,165.0
7.0,10.0,176.0,18.0,194.0,264.0,2.0,12.0,188.0,139.0,204.0
8.0,8.0,186.0,8.0,194.0,264.0,2.0,12.0,198.0,196.0,214.0
0.0,10.0,0.0,183.0,183.0,321.0,2.0,84.0,84.0,207.0,105.0
1.0,40.0,10.0,173.0,183.0,321.0,2.0,84.0,94.0,251.0,132.0
2.0,34.0,50.0,133.0,183.0,321.0,2.0,84.0,134.0,224.0,172.0
3.0,12.0,84.0,99.0,183.0,321.0,2.0,84.0,168.0,251.0,206.0
4.0,8.0,96.0,87.0,183.0,321.0,2.0,84.0,180.0,241.0,220.0
5.0,18.0,104.0,79.0,183.0,321.0,2.0,84.0,188.0,139.0,228.0
6.0,30.0,122.0,61.0,183.0,321.0,2.0,84.0,206.0,210.0,247.0
7.0,20.0,152.0,31.0,183.0,321.0,2.0,84.0,236.0,210.0,277.0
8.0,11.0,172.0,11.0,183.0,321.0,2.0,84.0,256.0,196.0,297.0
0.0,35.0,0.0,195.0,195.0,304.0,2.0,51.0,51.0,251.0,51.0
1.0,46.0,35.0,160.0,195.0,304.0,2.0,51.0,86.0,251.0,86.0
